# Polymarket Wallets - Expanded Set of 250 (70%+ Winrate)
# Format: address,winrate%,trades,daily_frequency,pnl_total
# Generated by Polymarket Notifier
# Criteria: 70%+ winrate, accepted wallets

# === 100% WINRATE WALLETS ===
  1. 0xed88d69d689f3e2f6d1f77b2e35d089c581df3c4 | Winrate: 100.0% | Trades: 164 | Daily: 18.53 | PnL: $10,324,334.88
  2. 0x5bffcf561bcae83af680ad600cb99f1184d6ffbe | Winrate: 100.0% | Trades: 502 | Daily: 2.22 | PnL: $9,200,962.62
  3. 0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d | Winrate: 100.0% | Trades: 2600 | Daily: 37.02 | PnL: $8,659,521.37
  4. 0x8b1d19252ae3a41039784b9f6f5cb1b32b4974cc | Winrate: 100.0% | Trades: 333 | Daily: 11.01 | PnL: $6,005,174.24
  5. 0x83b9f9e2d28ab875b9c9f73cdd5535c4c8926124 | Winrate: 100.0% | Trades: 764 | Daily: 100.00 | PnL: $3,692,181.39
  6. 0xd218e474776403a330142299f7796e8ba32eb5c9 | Winrate: 100.0% | Trades: 19276 | Daily: 100.00 | PnL: $3,224,236.45
  7. 0x42592084120b0d5287059919d2a96b3b7acb936f | Winrate: 100.0% | Trades: 140 | Daily: 3.00 | PnL: $2,604,158.13
  8. 0x53757615de1c42b83f893b79d4241a009dc2aeea | Winrate: 100.0% | Trades: 2190 | Daily: 100.00 | PnL: $2,472,271.40
  9. 0x3cdaf931c538750ffa43b4de25366401d7446e17 | Winrate: 100.0% | Trades: 539 | Daily: 6.63 | PnL: $2,345,679.76
 10. 0x31519628fb5e5aa559d4ba27aa1248810b9f0977 | Winrate: 100.0% | Trades: 990 | Daily: 100.00 | PnL: $2,076,403.39
 11. 0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029 | Winrate: 100.0% | Trades: 184 | Daily: 11.05 | PnL: $2,063,428.15
 12. 0x8b5a7da2fdf239b51b9c68a2a1a35bb156d200f2 | Winrate: 100.0% | Trades: 258 | Daily: 0.51 | PnL: $2,029,425.35
 13. 0x2131a32e8dbb7199480e710abe94983c3044aaf2 | Winrate: 100.0% | Trades: 146 | Daily: 4.77 | PnL: $1,973,219.29
 14. 0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee | Winrate: 100.0% | Trades: 284 | Daily: 33.21 | PnL: $1,879,552.84
 15. 0xee00ba338c59557141789b127927a55f5cc5cea1 | Winrate: 100.0% | Trades: 6132 | Daily: 25.68 | PnL: $1,851,145.89
 16. 0xa9878e59934ab507f9039bcb917c1bae0451141d | Winrate: 100.0% | Trades: 1002 | Daily: 22.34 | PnL: $1,772,497.19
 17. 0x9b3dcd99eec7fe11602e6534e6302c0f318d7422 | Winrate: 100.0% | Trades: 96 | Daily: 0.71 | PnL: $1,588,031.92
 18. 0x2f09642639aedd6ced432519c1a86e7d52034632 | Winrate: 100.0% | Trades: 678 | Daily: 47.41 | PnL: $1,485,863.36
 19. 0x204f72f35326db932158cba6adff0b9a1da95e14 | Winrate: 100.0% | Trades: 4984 | Daily: 100.00 | PnL: $1,331,794.15
 20. 0x054964a95e2cb3fc2105a62a1edf3da44979c052 | Winrate: 100.0% | Trades: 106 | Daily: 0.56 | PnL: $1,101,287.10
 21. 0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0 | Winrate: 100.0% | Trades: 716 | Daily: 13.94 | PnL: $1,041,450.06
 22. 0x900c83447eb74c3f29f17658e848e2715ca41d7a | Winrate: 100.0% | Trades: 374 | Daily: 100.00 | PnL: $954,803.39
 23. 0x212954857f5efc138748c33d032a93bf95974222 | Winrate: 100.0% | Trades: 7374 | Daily: 100.00 | PnL: $792,948.74
 24. 0x9066aa36696ef7ad9efbf35ea2b2b5535197c20a | Winrate: 100.0% | Trades: 2347 | Daily: 100.00 | PnL: $713,925.74
