# Polymarket Wallets - Top 250 Best (All Wallets)
# Format: address,winrate%,trades,daily_frequency,pnl_total,status
# Generated by Polymarket Notifier
# Includes: All wallets sorted by winrate (accepted + rejected)

# === 100% WINRATE WALLETS ===
  1. 0xed88d69d689f3e2f6d1f77b2e35d089c581df3c4 | Winrate: 100.0% | Trades: 164 | Daily: 18.53 | PnL: $10,324,334.88 | Status: accepted
  2. 0x5bffcf561bcae83af680ad600cb99f1184d6ffbe | Winrate: 100.0% | Trades: 502 | Daily: 2.22 | PnL: $9,200,962.62 | Status: accepted
  3. 0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d | Winrate: 100.0% | Trades: 2600 | Daily: 37.02 | PnL: $8,659,521.37 | Status: accepted
  4. 0x8b1d19252ae3a41039784b9f6f5cb1b32b4974cc | Winrate: 100.0% | Trades: 333 | Daily: 11.01 | PnL: $6,005,174.24 | Status: accepted
  5. 0x83b9f9e2d28ab875b9c9f73cdd5535c4c8926124 | Winrate: 100.0% | Trades: 764 | Daily: 100.00 | PnL: $3,692,181.39 | Status: accepted
  6. 0xd218e474776403a330142299f7796e8ba32eb5c9 | Winrate: 100.0% | Trades: 19276 | Daily: 100.00 | PnL: $3,224,236.45 | Status: accepted
  7. 0x1ff26f9f8a048d4f6fb2e4283f32f6ca64d2dbbd | Winrate: 100.0% | Trades: 27 | Daily: 1.47 | PnL: $2,811,698.68 | Status: rejected
  8. 0x42592084120b0d5287059919d2a96b3b7acb936f | Winrate: 100.0% | Trades: 140 | Daily: 3.00 | PnL: $2,604,158.13 | Status: accepted
  9. 0x53757615de1c42b83f893b79d4241a009dc2aeea | Winrate: 100.0% | Trades: 2190 | Daily: 100.00 | PnL: $2,472,271.40 | Status: accepted
 10. 0x3cdaf931c538750ffa43b4de25366401d7446e17 | Winrate: 100.0% | Trades: 539 | Daily: 6.63 | PnL: $2,345,679.76 | Status: accepted
 11. 0x31519628fb5e5aa559d4ba27aa1248810b9f0977 | Winrate: 100.0% | Trades: 990 | Daily: 100.00 | PnL: $2,076,403.39 | Status: accepted
 12. 0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029 | Winrate: 100.0% | Trades: 184 | Daily: 11.05 | PnL: $2,063,428.15 | Status: accepted
 13. 0x8b5a7da2fdf239b51b9c68a2a1a35bb156d200f2 | Winrate: 100.0% | Trades: 258 | Daily: 0.51 | PnL: $2,029,425.35 | Status: accepted
 14. 0x2131a32e8dbb7199480e710abe94983c3044aaf2 | Winrate: 100.0% | Trades: 146 | Daily: 4.77 | PnL: $1,973,219.29 | Status: accepted
 15. 0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee | Winrate: 100.0% | Trades: 284 | Daily: 33.21 | PnL: $1,879,552.84 | Status: accepted
 16. 0xee00ba338c59557141789b127927a55f5cc5cea1 | Winrate: 100.0% | Trades: 6132 | Daily: 25.68 | PnL: $1,851,145.89 | Status: accepted
 17. 0xa9878e59934ab507f9039bcb917c1bae0451141d | Winrate: 100.0% | Trades: 1002 | Daily: 22.34 | PnL: $1,772,497.19 | Status: accepted
 18. 0x9b3dcd99eec7fe11602e6534e6302c0f318d7422 | Winrate: 100.0% | Trades: 96 | Daily: 0.71 | PnL: $1,588,031.92 | Status: accepted
 19. 0x2f09642639aedd6ced432519c1a86e7d52034632 | Winrate: 100.0% | Trades: 678 | Daily: 47.41 | PnL: $1,485,863.36 | Status: accepted
 20. 0x204f72f35326db932158cba6adff0b9a1da95e14 | Winrate: 100.0% | Trades: 4984 | Daily: 100.00 | PnL: $1,331,794.15 | Status: accepted
 21. 0xcfaa03d5dc7e1e3ab73ac69d1a485797f9da2813 | Winrate: 100.0% | Trades: 21 | Daily: 4.75 | PnL: $1,251,851.43 | Status: rejected
 22. 0x054964a95e2cb3fc2105a62a1edf3da44979c052 | Winrate: 100.0% | Trades: 106 | Daily: 0.56 | PnL: $1,101,287.10 | Status: accepted
 23. 0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0 | Winrate: 100.0% | Trades: 716 | Daily: 13.94 | PnL: $1,041,450.06 | Status: accepted
 24. 0x900c83447eb74c3f29f17658e848e2715ca41d7a | Winrate: 100.0% | Trades: 374 | Daily: 100.00 | PnL: $954,803.39 | Status: accepted
 25. 0x212954857f5efc138748c33d032a93bf95974222 | Winrate: 100.0% | Trades: 7374 | Daily: 100.00 | PnL: $792,948.74 | Status: accepted
 26. 0x9066aa36696ef7ad9efbf35ea2b2b5535197c20a | Winrate: 100.0% | Trades: 2347 | Daily: 100.00 | PnL: $713,925.74 | Status: accepted
 27. 0x16b29c50f2439faf627209b2ac0c7bbddaa8a881 | Winrate: 100.0% | Trades: 247 | Daily: 100.00 | PnL: $677,987.16 | Status: accepted
 28. 0xb9808862351266922c7e093d06dfdcc22c6bae18 | Winrate: 100.0% | Trades: 1 | Daily: 12.00 | PnL: $671,323.12 | Status: rejected
 29. 0xead152b855effa6b5b5837f53b24c0756830c76a | Winrate: 100.0% | Trades: 1570 | Daily: 100.00 | PnL: $654,869.52 | Status: accepted
 30. 0x1fce2f3a01964e84d32ba7a099024662c8882229 | Winrate: 100.0% | Trades: 82 | Daily: 16.81 | PnL: $544,752.27 | Status: accepted
 31. 0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d | Winrate: 100.0% | Trades: 152 | Daily: 16.77 | PnL: $525,836.72 | Status: accepted
 32. 0xf705fa045201391d9632b7f3cde06a5e24453ca7 | Winrate: 100.0% | Trades: 273 | Daily: 100.00 | PnL: $512,668.14 | Status: accepted
 33. 0xfa1991cd8082174eedce066381c6565d6fbd4f3c | Winrate: 100.0% | Trades: 31 | Daily: 0.24 | PnL: $493,012.67 | Status: rejected
 34. 0x17db3fcd93ba12d38382a0cade24b200185c5f6d | Winrate: 100.0% | Trades: 38 | Daily: 9.95 | PnL: $468,301.46 | Status: rejected
 35. 0x821d0fcf5643c18c663c8960bf79fdbc9f6d0a01 | Winrate: 100.0% | Trades: 252 | Daily: 1.61 | PnL: $445,704.45 | Status: accepted
 36. 0x886c104feb466a5c8a389c0ef21a32017f709dc6 | Winrate: 100.0% | Trades: 1 | Daily: 11.00 | PnL: $442,288.73 | Status: rejected
 37. 0x2005d16a84ceefa912d4e380cd32e7ff827875ea | Winrate: 100.0% | Trades: 4581 | Daily: 22.04 | PnL: $391,113.59 | Status: accepted
 38. 0x781caf04d98a281712caf1677877c442789fdb68 | Winrate: 100.0% | Trades: 3806 | Daily: 100.00 | PnL: $343,040.27 | Status: accepted
 39. 0xdaad6f960d507dba148c1ff908db5a28743169cc | Winrate: 100.0% | Trades: 120 | Daily: 0.35 | PnL: $278,261.25 | Status: accepted
 40. 0x4d451aef961e65384998ca3053dab82a122a9054 | Winrate: 100.0% | Trades: 413 | Daily: 100.00 | PnL: $269,934.75 | Status: accepted
 41. 0x751a2b86cab503496efd325c8344e10159349ea1 | Winrate: 100.0% | Trades: 10237 | Daily: 65.75 | PnL: $259,834.34 | Status: accepted
 42. 0x8749194e5105c97c3d134e974e103b44eea44ea4 | Winrate: 100.0% | Trades: 4883 | Daily: 100.00 | PnL: $251,253.98 | Status: accepted
 43. 0xd72753dae1cb01011c1e69af78ee1f9494bbecce | Winrate: 100.0% | Trades: 3619 | Daily: 6.14 | PnL: $221,239.77 | Status: accepted
